#time, arduino2, arduino1
#Arduino 2 is connected to usb of tower and has only voltage pins connected, arduino1 is connected to the usb of monitor and has complete connections
0.0 860 770
0.015235662460327148 625 427
0.030623435974121094 780 598
0.0465848445892334 733 835
0.0625467300415039 733 543
0.0782623291015625 793 670
0.09363222122192383 715 823
0.1093282699584961 865 850
0.12464284896850586 798 700
0.14086461067199707 735 933
0.15596961975097656 750 818
0.1714775562286377 615 800
0.18707060813903809 790 808
0.20257115364074707 758 780
0.21771788597106934 593 658
0.23285675048828125 770 868
0.2481372356414795 615 805
0.2639753818511963 788 790
0.2797870635986328 808 838
0.29526329040527344 820 778
0.31061267852783203 648 705
0.3254234790802002 743 773
0.34060025215148926 740 678
0.3561570644378662 760 823
0.37159085273742676 750 798
0.38674020767211914 740 650
0.40256237983703613 730 825
0.4176199436187744 513 665
0.4328165054321289 733 815
0.44782447814941406 568 798
0.46364474296569824 643 780
0.4790782928466797 753 620
0.4974403381347656 853 798
0.513031005859375 770 678
0.5286514759063721 550 472
0.5442733764648438 695 788
0.5601577758789062 625 655
0.5755167007446289 750 688
0.5914607048034668 630 643
0.6067595481872559 805 533
0.6223800182342529 668 773
0.6380064487457275 620 673
0.6538574695587158 763 683
0.6694793701171875 753 608
0.6848654747009277 993 810
0.7004861831665039 492 748
0.7161083221435547 625 798
0.73172926902771 793 810
0.7473502159118652 785 730
0.7629773616790771 670 833
0.7788102626800537 800 840
0.794226884841919 618 685
0.8098361492156982 775 805
0.8254570960998535 623 648
0.841083288192749 635 805
0.8567061424255371 683 570
0.8724563121795654 750 790
0.8881547451019287 648 740
0.9038243293762207 623 850
0.9191854000091553 718 823
0.9348061084747314 665 745
0.9504563808441162 695 680
0.9660778045654297 633 858
0.981907844543457 780 848
0.9973156452178955 795 635
1.012913703918457 770 533
1.0285344123840332 482 800
1.0441603660583496 735 663
1.060102939605713 753 753
1.0757191181182861 825 818
1.0913431644439697 713 518
1.106914758682251 507 793
1.1222634315490723 480 803
1.1378889083862305 715 840
1.1537559032440186 790 780
1.1692664623260498 823 648
1.1847476959228516 790 788
1.200646162033081 743 828
1.2159905433654785 740 805
1.231611967086792 738 1033
1.2473173141479492 815 780
1.263181209564209 743 845
1.2784759998321533 763 793
1.2943222522735596 758 643
1.309934139251709 768 658
1.3253405094146729 758 845
1.3409662246704102 833 760
1.3565881252288818 640 708
1.372445821762085 635 780
1.3881113529205322 775 835
1.4040167331695557 768 708
1.4193572998046875 793 800
1.4349782466888428 668 680
1.4506046772003174 763 835
1.4662492275238037 770 655
1.4818708896636963 758 730
1.4977073669433594 655 775
1.5130903720855713 600 785
1.5287070274353027 748 685
1.5443341732025146 1061 798
1.5602669715881348 765 790
1.5758907794952393 760 795
1.5915086269378662 730 628
1.6070890426635742 618 778
1.622434377670288 748 733
1.6380558013916016 968 810
1.6539945602416992 775 505
1.6696207523345947 690 633
1.6852452754974365 753 730
1.700864315032959 725 660
1.716303825378418 780 940
1.7321135997772217 457 698
1.7477293014526367 775 820
1.7633569240570068 765 785
1.7789740562438965 783 778
1.7945997714996338 775 800
1.81022047996521 778 688
1.8255114555358887 798 885
1.8411328792572021 665 830
1.857020378112793 753 850
1.8726062774658203 763 848
1.888322114944458 760 698
1.9039397239685059 543 808
1.9195618629455566 838 650
1.9351286888122559 685 668
1.9507439136505127 748 830
1.9661321640014648 743 830
1.9817588329315186 630 895
1.9976694583892822 623 713
2.0133087635040283 593 683
2.0285887718200684 763 813
2.0442159175872803 543 813
2.060152769088745 735 815
2.075773239135742 730 858
2.091344118118286 725 1058
2.1069576740264893 698 633
2.122316360473633 800 713
2.1379382610321045 645 805
2.153618812561035 748 650
2.169440507888794 548 630
2.1848301887512207 818 835
2.2004525661468506 640 813
2.2160730361938477 763 860
2.2316665649414062 710 515
2.2472927570343018 765 760
2.263134717941284 755 703
2.2788500785827637 452 663
2.2944726943969727 625 663
2.310098171234131 760 818
2.3253939151763916 628 770
2.341015338897705 678 660
2.3568921089172363 768 720
2.3722591400146484 630 665
2.388201951980591 733 713
2.4037296772003174 765 673
2.4192616939544678 795 563
2.434771776199341 480 835
2.450392961502075 1038 783
2.4660136699676514 665 798
2.4818668365478516 472 813
2.4975533485412598 502 815
2.5131704807281494 813 643
2.5284712314605713 663 553
2.5440924167633057 630 803
2.559959888458252 770 765
2.5756616592407227 668 590
2.5912303924560547 858 823
2.606821060180664 700 790
2.622377872467041 633 678
2.638071060180664 735 460
2.6534743309020996 800 793
2.6690638065338135 665 813
2.684720516204834 855 980
2.7003061771392822 698 725
2.71596097946167 813 755
2.73154878616333 758 773
2.7471697330474854 753 780
2.763063907623291 730 723
2.778733253479004 753 790
2.7943546772003174 477 848
2.809980869293213 763 738
2.8256027698516846 570 495
2.8411612510681152 668 810
2.8567588329315186 850 658
2.8724238872528076 865 775
2.888000249862671 688 765
2.9034130573272705 728 770
2.919046401977539 785 487
2.9346258640289307 795 798
2.950252056121826 745 825
2.9658689498901367 748 798
2.981808662414551 790 785
2.997438669204712 530 688
3.0130534172058105 700 763
3.0283541679382324 452 675
3.0439751148223877 643 673
3.0596020221710205 693 788
3.0754997730255127 745 813
3.0910964012145996 763 758
3.1066713333129883 670 680
3.1223416328430176 755 760
3.1377034187316895 613 898
3.1533308029174805 598 848
3.1690826416015625 643 655
3.1848316192626953 445 640
3.2005221843719482 835 788
3.2161364555358887 595 808
3.231458902359009 713 785
3.2470524311065674 765 860
3.262673854827881 678 788
3.278618097305298 748 808
3.294236898422241 610 835
3.309863567352295 758 878
3.3254308700561523 778 835
3.340780258178711 613 810
3.3564069271087646 710 815
3.3722729682922363 605 760
3.387962579727173 808 805
3.4035425186157227 740 783
3.4191577434539795 743 703
3.4345083236694336 750 833
3.450129508972168 743 668
3.4657561779022217 768 770
3.481633424758911 748 653
3.497317314147949 793 755
3.512932538986206 477 648
3.528555154800415 748 728
3.543858051300049 768 643
3.5594840049743652 748 993
3.5753729343414307 800 653
3.5909619331359863 628 820
3.6065759658813477 618 770
3.6222827434539795 725 795
3.6375863552093506 765 800
3.653207302093506 745 790
3.6690590381622314 758 795
3.684609889984131 783 860
3.7003989219665527 640 833
3.7160146236419678 745 978
3.7316300868988037 775 798
3.7469348907470703 788 820
3.762561321258545 763 788
3.778430461883545 730 853
3.7941205501556396 783 810
3.809737205505371 740 880
3.8253061771392822 477 860
3.840662717819214 748 640
3.856285333633423 538 828
3.8721795082092285 630 800
3.8878493309020996 680 820
3.9034156799316406 760 765
3.918804168701172 505 648
3.9344189167022705 645 523
3.950012683868408 653 940
3.9656388759613037 738 793
3.981497287750244 773 668
3.9971985816955566 725 640
4.012818813323975 673 780
4.028439521789551 755 840
4.0437400341033936 748 648
4.059361219406128 655 633
4.07498836517334 783 653
4.0910139083862305 770 775
4.106725215911865 760 613
4.122350454330444 630 683
4.137646198272705 472 793
4.153267860412598 630 813
4.168889999389648 745 835
4.184512138366699 618 635
4.200134038925171 750 698
4.216070890426636 633 805
4.23169469833374 713 898
4.246995687484741 775 680
4.262622356414795 645 885
4.2785468101501465 775 770
4.294187784194946 680 688
4.309765338897705 778 833
4.32535719871521 760 605
4.340723752975464 803 840
4.356344938278198 760 720
4.371971845626831 580 773
4.3877339363098145 738 865
4.403212308883667 768 825
4.418831825256348 783 733
4.434453248977661 698 848
4.450073480606079 773 695
4.465699672698975 843 813
4.481635332107544 795 770
4.4972639083862305 750 878
4.51287579536438 703 818
4.528512001037598 785 753
4.5438008308410645 462 753
4.55942177772522 753 560
4.575043678283691 608 640
4.590695142745972 718 828
4.606530666351318 738 778
4.621907472610474 770 808
4.6376636028289795 768 833
4.653151273727417 603 763
4.668772220611572 673 778
4.684394836425781 928 695
4.700334072113037 738 630
4.715957403182983 698 845
4.731577634811401 645 788
4.7468791007995605 680 688
4.762499094009399 495 815
4.7783825397491455 618 770
4.79401969909668 783 653
4.809627532958984 740 635
4.825219631195068 765 818
4.840878009796143 760 788
4.856470823287964 750 798
4.871984004974365 678 838
4.887471914291382 718 545
4.903093099594116 505 618
4.918962001800537 740 915
4.934545040130615 490 695
4.949955701828003 800 768
4.965576648712158 608 843
4.981442451477051 658 703
4.997138023376465 788 655
5.012762546539307 825 585
5.028378009796143 790 778
5.044006586074829 748 800
5.0593039989471436 765 658
5.074932336807251 740 700
5.090801954269409 785 698
5.106308460235596 633 810
5.122004508972168 748 738
5.137732744216919 598 668
5.1530327796936035 930 695
5.168653964996338 653 780
5.184600353240967 630 680
5.200219631195068 618 775
5.215839624404907 648 650
5.231460094451904 755 710
5.246760845184326 713 818
5.262382745742798 765 953
5.278008937835693 633 808
5.293902158737183 743 665
5.309496879577637 710 793
5.325067043304443 725 610
5.340769529342651 720 775
5.356109857559204 803 708
5.371736288070679 660 835
5.387626647949219 755 723
5.40323281288147 638 783
5.418840169906616 833 728
5.434481620788574 790 748
5.449838161468506 740 808
5.46545934677124 613 820
5.481085777282715 725 823
5.497020244598389 738 798
5.5126426219940186 713 818
5.52826189994812 760 565
5.543846368789673 775 520
5.559186935424805 770 825
5.574808359146118 705 755
5.590705633163452 733 795
5.606369495391846 855 1043
5.62199068069458 933 640
5.637534141540527 743 785
5.652914762496948 565 793
5.668536424636841 683 830
5.684162855148315 843 805
5.700094938278198 733 793
5.71571683883667 785 828
5.731343030929565 668 560
5.746896982192993 783 710
5.762264013290405 743 635
5.777885913848877 688 635
5.79377007484436 623 828
5.80936861038208 608 788
5.825080633163452 838 770
5.840692520141602 833 648
5.855993032455444 778 855
