#Year;Month;Day;Hour;Min;Sec;mSec;dirX;dirY;dirZ;orgX;orgY;orgZ;targX;targY;targZ;targetID;dataValid;calibValid;lowContiguity;scene;exercise;subExercise;
2021;5;9;15;51;48;670;0.6077113747596741;-0.18423087894916534;0.772493302822113;0.21337811648845673;0.04479217156767845;1.4365843534469604;0.8050351738929749;-0.13457174599170685;2.1886701583862305;20080;True;True;False;0;-1;-1;
2021;5;9;15;51;48;675;0.6077113747596741;-0.18423087894916534;0.772493302822113;0.21337811648845673;0.04479217156767845;1.4365843534469604;0.8050351738929749;-0.13457174599170685;2.1886701583862305;20080;True;True;False;0;-1;-1;
2021;5;9;15;51;48;675;0.6109837293624878;-0.18529273569583893;0.7696528434753418;0.2119755893945694;0.044665832072496414;1.438090443611145;0.8064050078392029;-0.13560649752616882;2.186889886856079;20080;True;True;False;0;-1;-1;
2021;5;9;15;51;48;685;0.6109837293624878;-0.18529273569583893;0.7696528434753418;0.2119755893945694;0.044665832072496414;1.438090443611145;0.8064050078392029;-0.13560649752616882;2.186889886856079;20080;True;True;False;0;-1;-1;
2021;5;9;15;51;48;695;0.6118098497390747;-0.18507109582424164;0.7690497636795044;0.2118941694498062;0.044700246304273605;1.43803870677948;0.8069995641708374;-0.13531778752803802;2.1860909461975098;20080;True;True;False;0;-1;-1;
2021;5;9;15;51;48;715;0.6103931069374084;-0.18704664707183838;0.7696973085403442;0.21194395422935486;0.04462108016014099;1.4378186464309692;0.8062242865562439;-0.13748803734779358;2.1871979236602783;20080;True;True;False;0;-1;-1;
2021;5;9;15;51;48;730;0.6103931069374084;-0.18704664707183838;0.7696973085403442;0.21194395422935486;0.04462108016014099;1.4378186464309692;0.8062242865562439;-0.13748803734779358;2.1871979236602783;20080;True;True;False;0;-1;-1;
2021;5;9;15;51;52;715;0.8137573003768921;0.01961778663098812;0.5808736681938171;0.21197029948234558;0.05239196866750717;1.430341362953186;0.0;0.0;0.0;-2;True;True;False;0;-1;-1;
2021;5;9;15;51;52;715;0.8102231025695801;0.013530673459172249;0.5859653353691101;0.21154138445854187;0.05245673656463623;1.4303311109542847;0.0;0.0;0.0;-2;True;True;False;0;-1;-1;
2021;5;9;15;51;52;725;0.8102231025695801;0.013530673459172249;0.5859653353691101;0.21154138445854187;0.05245673656463623;1.4303311109542847;0.0;0.0;0.0;-2;True;True;False;0;-1;-1;
2021;5;9;15;51;52;725;0.8096790313720703;0.013323554769158363;0.5867215991020203;0.21137955784797668;0.05216573551297188;1.4303481578826904;0.0;0.0;0.0;-2;True;True;False;0;-1;-1;
2021;5;9;15;51;52;745;0.806786060333252;0.007455585990101099;0.5907966494560242;0.21098598837852478;0.05230671167373657;1.4304170608520508;0.0;0.0;0.0;-2;True;True;False;0;-1;-1;
2021;5;9;15;51;48;715;0.6118098497390747;-0.18507109582424164;0.7690497636795044;0.2118941694498062;0.044700246304273605;1.43803870677948;0.8069995641708374;-0.13531778752803802;2.1860909461975098;20080;True;True;False;0;-1;-1;
2021;5;9;15;51;48;735;0.6107484102249146;-0.187749445438385;0.7692440748214722;0.21184833347797394;0.04465813562273979;1.437773585319519;0.8065435290336609;-0.13815641403198242;2.186798572540283;20080;True;True;False;0;-1;-1;
2021;5;9;15;51;54;725;0.8041905760765076;-0.024948962032794952;0.5938476324081421;0.19925008714199066;0.05321342125535011;1.4077397584915161;0.0;0.0;0.0;-2;True;True;False;0;-1;-1;
2021;5;9;15;51;54;725;0.8045617938041687;-0.025877799838781357;0.5933048725128174;0.19884203374385834;0.052967168390750885;1.4075089693069458;0.0;0.0;0.0;-2;True;True;False;0;-1;-1;
2021;5;9;15;51;54;746;0.804064154624939;-0.027308965101838112;0.5939149260520935;0.19873952865600586;0.0530838705599308;1.4071725606918335;0.0;0.0;0.0;-2;True;True;False;0;-1;-1;
2021;5;9;15;51;40;690;0.6372954845428467;-0.20131047070026398;0.7438606023788452;0.19126158952713013;0.05303754657506943;1.4243215322494507;0.8241944313049316;-0.14689484238624573;2.1630899906158447;20080;True;True;False;0;-1;-1;
2021;5;9;15;51;40;700;0.6366835236549377;-0.2028522491455078;0.7439658045768738;0.19124406576156616;0.05305945500731468;1.4244412183761597;0.8238348960876465;-0.1484888345003128;2.1636247634887695;20080;True;True;False;0;-1;-1;
2021;5;9;15;51;40;715;0.6366835236549377;-0.2028522491455078;0.7439658045768738;0.19124406576156616;0.05305945500731468;1.4244412183761597;0.8238348960876465;-0.1484888345003128;2.1636247634887695;20080;True;True;False;0;-1;-1;
2021;5;9;15;51;40;715;0.6338294148445129;-0.20334497094154358;0.7462648153305054;0.19235222041606903;0.05319163575768471;1.4236520528793335;0.8224319219589233;-0.14895035326480865;2.1655020713806152;20080;True;True;False;0;-1;-1;
2021;5;9;15;51;40;725;0.6338294148445129;-0.20334497094154358;0.7462648153305054;0.19235222041606903;0.05319163575768471;1.4236520528793335;0.8224319219589233;-0.14895035326480865;2.1655020713806152;20080;True;True;False;0;-1;-1;
2021;5;9;15;51;40;735;0.6338809132575989;-0.20297464728355408;0.7463217973709106;0.1923932284116745;0.05314698442816734;1.4238077402114868;0.8223850727081299;-0.1485823541879654;2.165550708770752;20080;True;True;False;0;-1;-1;
2021;5;9;15;51;40;750;0.6323437690734863;-0.2029544860124588;0.74763023853302;0.192968487739563;0.052951034158468246;1.4233505725860596;0.8216033577919006;-0.14881305396556854;2.166595697402954;20080;True;True;False;0;-1;-1;
