#Year;Month;Day;Hour;Min;Sec;mSec;dirX;dirY;dirZ;orgX;orgY;orgZ;targX;targY;targZ;target;                dataValid;calibValid;lowContiguity;scene;exercise;subExercise;
2021;7;7;16;24;36;689;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-2;False;False;False;-1;-1;-1;
2021;7;7;16;24;36;690;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-2;False;False;False;-1;-1;-1;
2021;7;7;16;24;36;690;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-2;False;False;False;-1;-1;-1;
2021;7;7;16;24;36;690;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-2;False;False;False;-1;-1;-1;
2021;7;7;16;24;36;690;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-2;False;False;False;-1;-1;-1;
2021;7;7;16;24;36;690;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-2;False;False;False;-1;-1;-1;
2021;7;7;16;24;36;778;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835000038146973;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;36;679;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-2;False;False;False;-1;-1;-1;
2021;7;7;16;24;36;788;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835000038146973;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;36;682;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-2;False;False;False;-1;-1;-1;
2021;7;7;16;24;36;682;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-2;False;False;False;-1;-1;-1;
2021;7;7;16;24;36;682;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-2;False;False;False;-1;-1;-1;
2021;7;7;16;24;36;653;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-2;False;False;False;-1;-1;-1;
